id,tasa
011,0.226528166
012,0.178460515
013,0.254547159
014,0.26473611
015,0.226626148
016,0.224577408
021,0.216816104
022,0.198898176
023,0.13434177
024,0.223974256
025,0.185147285
026,0.176859952
027,0.126005362
031,0.214264619
032,0.203260569
033,0.258998368
034,0.239545138
035,0.272420579
036,0.292419482
041,0.325259516
042,0.270248187
043,0.219259543
044,0.252083946
045,0.268755707
046,0.311052009
051,0.303009056
052,0.237648289
053,0.222707424
054,0.286297265
055,0.306835443
056,0.26761745
061,0.133924814
062,0.234841562
063,0.235432284
064,0.111803234
065,0.106585308
066,0.11275747
071,0.267195767
072,0.24670862
073,0.261077747
074,0.283503076
075,0.26886181
076,0.288181409
081,0.087908879
082,0.289900249
083,0.161465737
084,0.128272194
085,0.239242179
086,0.172546978
087,0.239300323
088,0.229081334
091,0.19552597
092,0.272908449
093,0.26592088
094,0.137368046
095,0.265363565
096,0.2482028
097,0.243473524
101,0.080147102
102,0.096203823
103,0.085865295
104,0.085064787
105,0.093771535
106,0.120848708
107,0.071484268
111,0.090403088
112,0.079674899
113,0.067464492
114,0.065259893
115,0.054849519
116,0.079448092
117,0.064310427
121,0.043260636
122,0.047101178
123,0.050582639
124,0.052488863
125,0.059753337
126,0.050126998
127,0.03661057
131,0.025179429
132,0.043330458
133,0.062823374
134,0.045400579
135,0.035823693
136,0.053694325
141,0.088970271
142,0.14469006
143,0.136185925
144,0.119770166
145,0.074832375
146,0.095521509
151,0.088262399
152,0.081744766
153,0.109792774
154,0.151644929
155,0.177191536
156,0.256732641
157,0.242517392
158,0.261950287
159,0.274370034
161,0.249924676
162,0.259606761
163,0.134290561
164,0.103522714
165,0.120910756
166,0.210139019
171,0.039264311
172,0.021620913
173,0.065483585
174,0.052510603
175,0.056013938
181,0.083423785
182,0.08322768
191,0.099164519
192,0.037251434
201,0.09843874
202,0.03180532
203,0.028957294
204,0.055735771
205,0.12503946
206,0.16511224
207,0.076339613
208,0.192290845
211,0.207446536
212,0.0294936
213,0.069720033
214,0.130915853
215,0.227628032
